# resistance (ohms),current (A),time (s),res min,res_max,sensitivity,integ_time
2.372193651765688881e+07,-4.215507445000000565e-09,1.620000000000000107e+00,2.380000000000000000e+07,2.500000000000000000e+07,1.100000000000000000e+01,2.000000000000000111e-01
2.368066064572292939e+07,-4.222855159999999982e-09,1.625000000000000000e+00,2.380000000000000000e+07,2.500000000000000000e+07,1.100000000000000000e+01,2.000000000000000111e-01
2.362897827461474761e+07,-4.232091580000000021e-09,1.629999999999999893e+00,2.380000000000000000e+07,2.500000000000000000e+07,1.100000000000000000e+01,2.000000000000000111e-01
2.355334043454770744e+07,-4.245682275000000482e-09,1.635000000000000009e+00,2.380000000000000000e+07,2.500000000000000000e+07,1.100000000000000000e+01,2.000000000000000111e-01
2.349195939061500505e+07,-4.256775619999999780e-09,1.640000000000000124e+00,2.380000000000000000e+07,2.500000000000000000e+07,1.100000000000000000e+01,2.000000000000000111e-01
2.344551944834324718e+07,-4.265207270000000038e-09,1.645000000000000018e+00,2.380000000000000000e+07,2.500000000000000000e+07,1.100000000000000000e+01,2.000000000000000111e-01
2.337731482901978120e+07,-4.277651249999999994e-09,1.649999999999999911e+00,2.380000000000000000e+07,2.500000000000000000e+07,1.100000000000000000e+01,2.000000000000000111e-01
2.331613963890536875e+07,-4.288874640000000297e-09,1.655000000000000027e+00,2.380000000000000000e+07,2.500000000000000000e+07,1.100000000000000000e+01,2.000000000000000111e-01
2.328465806734595075e+07,-4.294673330000000170e-09,1.660000000000000142e+00,2.380000000000000000e+07,2.500000000000000000e+07,1.100000000000000000e+01,2.000000000000000111e-01
2.323227050562930852e+07,-4.304357594999999949e-09,1.665000000000000036e+00,2.380000000000000000e+07,2.500000000000000000e+07,1.100000000000000000e+01,2.000000000000000111e-01
2.316076492122610286e+07,-4.317646690000000222e-09,1.669999999999999929e+00,2.380000000000000000e+07,2.500000000000000000e+07,1.100000000000000000e+01,2.000000000000000111e-01
2.310962563259220496e+07,-4.327201209999999919e-09,1.675000000000000044e+00,2.380000000000000000e+07,2.500000000000000000e+07,1.100000000000000000e+01,2.000000000000000111e-01
2.304888691618075594e+07,-4.338604305000000349e-09,1.680000000000000160e+00,2.380000000000000000e+07,2.500000000000000000e+07,1.100000000000000000e+01,2.000000000000000111e-01
2.297220168906214088e+07,-4.353087325000000294e-09,1.685000000000000053e+00,2.380000000000000000e+07,2.500000000000000000e+07,1.100000000000000000e+01,2.000000000000000111e-01
2.292198204508309811e+07,-4.362624480000000493e-09,1.689999999999999947e+00,2.380000000000000000e+07,2.500000000000000000e+07,1.100000000000000000e+01,2.000000000000000111e-01
2.291483179731491953e+07,-4.363985775000000248e-09,1.695000000000000062e+00,2.380000000000000000e+07,2.500000000000000000e+07,1.100000000000000000e+01,2.000000000000000111e-01
2.289076897819777206e+07,-4.368573204999999637e-09,1.700000000000000178e+00,2.380000000000000000e+07,2.500000000000000000e+07,1.100000000000000000e+01,2.000000000000000111e-01
2.286581527289776504e+07,-4.373340674999999508e-09,1.705000000000000071e+00,2.380000000000000000e+07,2.500000000000000000e+07,1.100000000000000000e+01,2.000000000000000111e-01
2.285201593554709852e+07,-4.375981544999999768e-09,1.709999999999999964e+00,2.380000000000000000e+07,2.500000000000000000e+07,1.100000000000000000e+01,2.000000000000000111e-01
2.281556903127733618e+07,-4.382971990000000606e-09,1.714999999999999858e+00,2.380000000000000000e+07,2.500000000000000000e+07,1.100000000000000000e+01,2.000000000000000111e-01
2.277455083142642677e+07,-4.390865960000000363e-09,1.719999999999999973e+00,2.380000000000000000e+07,2.500000000000000000e+07,1.100000000000000000e+01,2.000000000000000111e-01
2.275935097208903357e+07,-4.393798405000000511e-09,1.725000000000000089e+00,2.380000000000000000e+07,2.500000000000000000e+07,1.100000000000000000e+01,2.000000000000000111e-01
2.274626482448004186e+07,-4.396326199999999881e-09,1.729999999999999982e+00,2.380000000000000000e+07,2.500000000000000000e+07,1.100000000000000000e+01,2.000000000000000111e-01
2.271605832555145770e+07,-4.402172180000000104e-09,1.734999999999999876e+00,2.380000000000000000e+07,2.500000000000000000e+07,1.100000000000000000e+01,2.000000000000000111e-01
2.270408094718674198e+07,-4.404494514999999492e-09,1.739999999999999991e+00,2.380000000000000000e+07,2.500000000000000000e+07,1.100000000000000000e+01,2.000000000000000111e-01
2.270128378166121244e+07,-4.405037220000000355e-09,1.745000000000000107e+00,2.380000000000000000e+07,2.500000000000000000e+07,1.100000000000000000e+01,2.000000000000000111e-01
2.267648554257716611e+07,-4.409854419999999865e-09,1.750000000000000000e+00,2.380000000000000000e+07,2.500000000000000000e+07,1.100000000000000000e+01,2.000000000000000111e-01
2.264950190472458676e+07,-4.415108130000000218e-09,1.754999999999999893e+00,2.380000000000000000e+07,2.500000000000000000e+07,1.100000000000000000e+01,2.000000000000000111e-01
2.264040773463479802e+07,-4.416881584999999670e-09,1.760000000000000009e+00,2.380000000000000000e+07,2.500000000000000000e+07,1.100000000000000000e+01,2.000000000000000111e-01
2.261419939179992303e+07,-4.422000455000000715e-09,1.765000000000000124e+00,2.380000000000000000e+07,2.500000000000000000e+07,1.100000000000000000e+01,2.000000000000000111e-01
2.257649822634458169e+07,-4.429384885000000007e-09,1.770000000000000018e+00,2.380000000000000000e+07,2.500000000000000000e+07,1.100000000000000000e+01,2.000000000000000111e-01
2.256611517458144203e+07,-4.431422919999999758e-09,1.774999999999999911e+00,2.380000000000000000e+07,2.500000000000000000e+07,1.100000000000000000e+01,2.000000000000000111e-01
2.256183512281306460e+07,-4.432263575000000473e-09,1.780000000000000027e+00,2.380000000000000000e+07,2.500000000000000000e+07,1.100000000000000000e+01,2.000000000000000111e-01
2.254252129291043803e+07,-4.436061020000000080e-09,1.785000000000000142e+00,2.380000000000000000e+07,2.500000000000000000e+07,1.100000000000000000e+01,2.000000000000000111e-01
2.253257159271155670e+07,-4.438019850000000308e-09,1.790000000000000036e+00,2.380000000000000000e+07,2.500000000000000000e+07,1.100000000000000000e+01,2.000000000000000111e-01
2.252710653501876816e+07,-4.439096510000000071e-09,1.794999999999999929e+00,2.380000000000000000e+07,2.500000000000000000e+07,1.100000000000000000e+01,2.000000000000000111e-01
2.250897386926133186e+07,-4.442672535000000564e-09,1.800000000000000044e+00,2.380000000000000000e+07,2.500000000000000000e+07,1.100000000000000000e+01,2.000000000000000111e-01
2.249824256103146821e+07,-4.444791619999999681e-09,1.805000000000000160e+00,2.380000000000000000e+07,2.500000000000000000e+07,1.100000000000000000e+01,2.000000000000000111e-01
2.249884616073642299e+07,-4.444672375000000464e-09,1.810000000000000053e+00,2.380000000000000000e+07,2.500000000000000000e+07,1.100000000000000000e+01,2.000000000000000111e-01
